,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
890,Grönlandsbanken,1249,GRLA,DK0010230630,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
891,Gyldendal B,1250,GYLD B,DK0010247600,Aktie,Mid Cap,Danmark,Sällanköpsvaror,Media & Publicering
892,HH International,1251,HH,DK0015202451,Aktie,Mid Cap,Danmark,Industri,Byggmaterial
893,Harboes Bryggeri,1252,HARB B,DK0060014751,Aktie,Small Cap,Danmark,Dagligvaror,Bryggeri
894,Hvidbjerg Bank,1253,HVID,DK0060135978,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
895,MT Hojgaard B,1254,MTHH,DK0010255975,Aktie,Mid Cap,Danmark,Industri,Byggnation & Infrastruktur
896,InterMail,1255,IMAIL,DK0010212224,Aktie,Small Cap,Danmark,Material,Förpackning
897,Kreditbanken,1256,KRE,DK0010253764,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
898,Lollands Bank,1258,LOLB,DK0060000107,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
899,Luxor,1259,LUXOR B,DK0010213628,Aktie,Small Cap,Danmark,Finans & Fastighet,Investmentbolag
900,Lån og Spar Bank,1260,LASP,DK0010201532,Aktie,Mid Cap,Danmark,Finans & Fastighet,Nischbanker
901,Mons Bank,1264,MNBA,DK0060133841,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
902,NTG Nordic Transport,1265,NTG,DK0061141215,Aktie,Mid Cap,Danmark,Industri,Tåg- & Lastbilstransport
903,NewCap Holding,1266,NEWCAP,DK0010212570,Aktie,Small Cap,Danmark,Finans & Fastighet,Kapitalförvaltning
904,Nordfyns Bank,1267,NRDF,DK0061295441,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
905,Park Street,1269,PARKST A,DK0010158500,Aktie,Small Cap,Danmark,Finans & Fastighet,Fastighetsbolag
906,North Media,1270,NORTHM,DK0010270347,Aktie,Mid Cap,Danmark,Sällanköpsvaror,Media & Publicering
907,NTR Holding,1271,NTR B,DK0010027671,Aktie,Small Cap,Danmark,Industri,Elektroniska komponenter
908,PARKEN Sport,1273,PARKEN,DK0010237643,Aktie,Small Cap,Danmark,Sällanköpsvaror,Fritid & Sport
909,Prime Office,1274,PRIMOF,DK0060137594,Aktie,Small Cap,Danmark,Finans & Fastighet,Fastighetsbolag
910,Rias,1275,RIAS B,DK0010125848,Aktie,Small Cap,Danmark,Material,Kemikalier
911,RTX,1276,RTX,DK0010267129,Aktie,Mid Cap,Danmark,Informationsteknik,Kommunikation
912,EAC Invest,1279,EAC,DK0061277894,Aktie,Small Cap,Danmark,Industri,Affärskonsulter
913,Scandinavian Brake,1280,SBS,DK0060042612,Aktie,Small Cap,Danmark,Industri,Industrikomponenter
914,Silkeborg IF,1282,SIF,DK0010128008,Aktie,Small Cap,Danmark,Sällanköpsvaror,Fritid & Sport
915,SKAKO,1283,SKAKO,DK0010231877,Aktie,Small Cap,Danmark,Industri,Industrimaskiner
916,Skjern Bank,1284,SKJE,DK0010295922,Aktie,Small Cap,Danmark,Finans & Fastighet,Banker
917,Ennogie Solar,1285,ESG,DK0010305077,Aktie,Small Cap,Danmark,Finans & Fastighet,Investmentbolag
918,SP Group,1286,SPG,DK0061027356,Aktie,Mid Cap,Danmark,Material,Kemikalier
919,Rovsing,1287,ROV,DK0061152170,Aktie,Small Cap,Danmark,Informationsteknik,Rymd- & Satellitteknik
920,Strategic Investments,1288,STRINV,DK0010271238,Aktie,Small Cap,Danmark,Finans & Fastighet,Investmentbolag
921,Agat Ejendomme,1289,AGAT,DK0010258995,Aktie,Small Cap,Danmark,Finans & Fastighet,Fastighetsbolag
922,Cemat,1290,CEMAT,DK0010271584,Aktie,Small Cap,Danmark,Finans & Fastighet,Fastighetsbolag
923,TORM,1291,TRMD A,GB00BZ3CNK81,Aktie,Large Cap,Danmark,Energi,Olja & Gas - Transport
924,Vestjysk Bank,1293,VJBA,DK0010304500,Aktie,Mid Cap,Danmark,Finans & Fastighet,Banker
925,EgnsINVEST,1297,EGNETY,DK0060118453,Aktie,First North,Danmark,Finans & Fastighet,Fastighetsbolag
926,FastPassCorp,1299,FASTPC,DK0060568145,Aktie,First North,Danmark,Informationsteknik,Säkerhet & Bevakning
927,WIRTEK,1302,WIRTEK,DK0060040913,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
928,Tokmanni Group,1303,TOKMAN,FI4000197934,Aktie,Mid Cap,Finland,Dagligvaror,Livsmedelsbutiker
929,Lehto Group,1304,LEHTO,FI4000081138,Aktie,Small Cap,Finland,Industri,Bostadsbyggnation
930,Qt Group,1305,QTCOM,FI4000198031,Aktie,Large Cap,Finland,Informationsteknik,Affärs- & IT-System
931,Real Fastigheter,1306,REAL,SE0020679025,Aktie,NGM,Sverige,Finans & Fastighet,Fastighetsbolag
932,Talkpool,1309,TALK,CH0322161768,Aktie,First North,Sverige,Telekommunikation,Telekomtjänster
933,Provide IT,1311,PROVIT,SE0008321418,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
934,Swedencare,1312,SECARE,SE0015988167,Aktie,First North,Sverige,Dagligvaror,Hälsoprodukter
